CategoryName,Source,NumberOfPapers
"""reliability validity""","""OpenAIRE""",1
"""concept map""","""OpenAlex""",1
"""fuzzy order""","""OpenAIRE""",1
"""universality (dynamical systems)""","""OpenAlex""",1
"""complete lattice""","""OpenAlex""",1
"""dedekind cut""","""OpenAlex""",1
"""conditional frequentist""","""OpenAIRE""",1
"""p-values""","""OpenAIRE""",1
"""objective bayesian methods""","""OpenAIRE""",1
"""nonparametric bayes""","""OpenAIRE""",1
"""bayesian model checking""","""OpenAIRE""",1
"""reference priors""","""OpenAIRE""",1
"""coverage""","""OpenAIRE""",1
"""admissibility""","""OpenAIRE""",1
"""linguistic theory""","""OpenAIRE""",1
"""experimental syntax""","""OpenAIRE""",1
"""acceptability judgments""","""OpenAIRE""",1
"""grammaticality judgments""","""OpenAIRE""",1
"""corrigenda""","""OpenAIRE""",1
"""study heterogeneity""","""OpenAlex""",1
"""heterogeneous wireless network""","""OpenAIRE""",1
"""wireless wan""","""OpenAlex""",1
"""new zealand""","""OpenAIRE""",1
"""ion channels""","""OpenAIRE""",1
"""subthreshold conduction""","""OpenAIRE""",1
"""postsynaptic potential""","""OpenAlex""",1
"""subthreshold conduction""","""OpenAlex""",1
"""dolphins""","""OpenAIRE""",1
"""active testing""","""OpenAIRE""",1
"""spot images""","""OpenAIRE""",1
"""model-based tracking""","""OpenAIRE""",1
"""divide and conquer algorithms""","""OpenAlex""",1
"""active vision""","""OpenAlex""",1
"""patchy particles""","""OpenAIRE""",1
"""colloidal particle""","""OpenAIRE""",1
"""colloidal particle""","""OpenAlex""",1
"""tempering""","""OpenAIRE""",1
"""bennett acceptance ratio""","""OpenAIRE""",1
"""canonical ensemble""","""OpenAIRE""",1
"""canonical ensemble""","""OpenAlex""",1
"""graph kernel""","""OpenAIRE""",1
"""real world data""","""OpenAlex""",1
"""differential expression""","""OpenAIRE""",1
"""experimental replication""","""OpenAIRE""",1
"""schema (genetic algorithms)""","""OpenAIRE""",1
"""learning classifier system""","""OpenAlex""",1
"""meta learning (computer science)""","""OpenAlex""",1
"""porting""","""OpenAlex""",1
"""computer architecture simulator""","""OpenAlex""",1
"""network simulation""","""OpenAlex""",1
"""correctness""","""OpenAIRE""",1
"""porting""","""OpenAIRE""",1
"""large-scale models""","""OpenAIRE""",1
"""digital natives""","""OpenAIRE""",1
"""youth culture""","""OpenAIRE""",1
"""mlearning""","""OpenAIRE""",1
"""postmodern pedagogy""","""OpenAIRE""",1
"""teaching technology""","""OpenAIRE""",1
"""adverb""","""OpenAIRE""",1
"""learnability""","""OpenAIRE""",1
"""interrogative word""","""OpenAIRE""",1
"""interrupt""","""OpenAlex""",1
"""adverb""","""OpenAlex""",1
"""pharmacokinetics/life sciences industry""","""OpenAIRE""",1
"""career mobility""","""OpenAIRE""",1
"""translational research, biomedical""","""OpenAIRE""",1
"""general clinical medicine""","""OpenAIRE""",1
"""social nature""","""OpenAIRE""",1
"""event (particle physics)""","""OpenAIRE""",1
"""charge (physics)""","""OpenAIRE""",1
"""trapping""","""OpenAlex""",1
"""charge (physics)""","""OpenAlex""",1
"""video denoising""","""OpenAIRE""",1
"""vehicular ad hoc network""","""OpenAlex""",1
"""animal health""","""OpenAIRE""",1
"""host tissue""","""OpenAIRE""",1
"""brief communications""","""OpenAIRE""",1
"""extrastriate body area""","""OpenAIRE""",1
"""i.4.9""","""OpenAIRE""",1
"""numerical aperture""","""OpenAIRE""",1
"""i.2.1""","""OpenAIRE""",1
"""numerical aperture""","""OpenAlex""",1
"""i.2""","""OpenAIRE""",1
"""68t01, 68t05, 68u10, 62m45, 78m32, 92c50, 92c55, 94a08""","""OpenAIRE""",1
"""i.3""","""OpenAIRE""",1
"""j.3""","""OpenAIRE""",1
"""i.3.3""","""OpenAIRE""",1
"""i.4.3""","""OpenAIRE""",1
"""i.4.4""","""OpenAIRE""",1
"""i.2; i.2.1; i.2.6; i.2.10; i.3; i.3.3; i.4.3; i.4.4; i.4.9; j.3""","""OpenAIRE""",1
"""broad spectrum""","""OpenAIRE""",1
"""radiography, interventional""","""OpenAIRE""",1
"""radiology, interventional""","""OpenAIRE""",1
"""lentigo""","""OpenAIRE""",1
"""basal cell carcinoma""","""OpenAIRE""",1
"""hemangioma""","""OpenAIRE""",1
"""melanocytic nevus""","""OpenAIRE""",1
"""actinic keratosis""","""OpenAIRE""",1
"""pyogenic granuloma""","""OpenAIRE""",1
"""keratosis""","""OpenAIRE""",1
"""seborrheic keratosis""","""OpenAIRE""",1
"""actinic keratosis""","""OpenAlex""",1
"""basal cell""","""OpenAlex""",1
"""dermatology""","""OpenAlex""",1
"""basal cell carcinoma""","""OpenAlex""",1
"""seborrheic keratosis""","""OpenAlex""",1
"""blood sugar""","""OpenAIRE""",1
"""functional annotation""","""OpenAIRE""",1
"""single server""","""OpenAIRE""",1
"""5g""","""OpenAIRE""",1
"""6g""","""OpenAIRE""",1
"""latency""","""OpenAIRE""",1
"""on-device machine learning ml""","""OpenAIRE""",1
"""beyond 5g""","""OpenAIRE""",1
"""distributed machine learning (ml)""","""OpenAIRE""",1
"""ultrareliable and low-latency communication (urllc)""","""OpenAIRE""",1
"""quadrupedalism""","""OpenAIRE""",1
"""quadrupedalism""","""OpenAlex""",1
"""imperfect""","""OpenAIRE""",1
"""jel:c7""","""OpenAIRE""",1
"""jel:d8""","""OpenAIRE""",1
"""pairwise exchanges, transplants""","""OpenAIRE""",1
"""distributive justice""","""OpenAIRE""",1
"""jel:d02""","""OpenAIRE""",1
"""jel:i10""","""OpenAIRE""",1
"""jel:c78""","""OpenAIRE""",1
"""jel:d63""","""OpenAIRE""",1
"""live donor""","""OpenAIRE""",1
"""priority setting""","""OpenAIRE""",1
"""top trading cycles""","""OpenAIRE""",1
"""kidney""","""OpenAlex""",1
"""distributive justice""","""OpenAlex""",1
"""translation studies""","""OpenAlex""",1
"""internet games industry""","""OpenAIRE""",1
"""game design""","""OpenAIRE""",1
"""shared virtual environments""","""OpenAIRE""",1
"""service provider""","""OpenAIRE""",1
"""mobile qos""","""OpenAIRE""",1
"""functional diversity""","""OpenAlex""",1
"""settore agr/16 - microbiologia agraria""","""OpenAIRE""",1
"""temperature gradient gel electrophoresis""","""OpenAIRE""",1
"""community fingerprinting""","""OpenAIRE""",1
"""electrophoresis, polyacrylamide gel""","""OpenAIRE""",1
"""microbial population biology""","""OpenAIRE""",1
"""dna fingerprinting""","""OpenAIRE""",1
"""single-strand conformation polymorphism""","""OpenAIRE""",1
"""genetics, microbial""","""OpenAIRE""",1
"""restriction fragment length polymorphism""","""OpenAlex""",1
"""terminal restriction fragment length polymorphism""","""OpenAlex""",1
"""microbial population biology""","""OpenAlex""",1
"""temperature gradient gel electrophoresis""","""OpenAlex""",1
"""microbial ecology""","""OpenAlex""",1
"""variant effect""","""OpenAIRE""",1
"""protein isoforms""","""OpenAIRE""",1
"""functional effect prediction""","""OpenAIRE""",1
"""from sequence""","""OpenAIRE""",1
"""snp effect""","""OpenAIRE""",1
"""papers""","""OpenAIRE""",1
"""psychopathic tendencies""","""OpenAIRE""",1
"""cognitive perspective taking""","""OpenAIRE""",1
"""fear""","""OpenAIRE""",1
"""asperger syndrome""","""OpenAIRE""",1
"""gravitation""","""OpenAIRE""",1
"""whole body""","""OpenAIRE""",1
"""center of mass (relativistic)""","""OpenAlex""",1
"""energy–momentum relation""","""OpenAlex""",1
"""center of pressure (terrestrial locomotion)""","""OpenAIRE""",1
"""stability""","""OpenAIRE""",1
"""somatotypes""","""OpenAIRE""",1
"""democratic theory""","""OpenAIRE""",1
"""congruence (geometry)""","""OpenAIRE""",1
"""legislature""","""OpenAlex""",1
"""duality of structure""","""OpenAIRE""",1
"""organizational form""","""OpenAIRE""",1
"""structuration theory""","""OpenAIRE""",1
"""(170.1630) coded aperture imaging""","""OpenAIRE""",1
"""phase retrieval""","""OpenAlex""",1
"""(110.1758) computational imaging""","""OpenAIRE""",1
"""optical physics""","""OpenAIRE""",1
"""(100.5070) phase retrieval""","""OpenAIRE""",1
"""(170.0180) microscopy""","""OpenAIRE""",1
"""(110.3010) image reconstruction techniques""","""OpenAIRE""",1
"""shallow water equations""","""OpenAIRE""",1
"""conserved quantity""","""OpenAIRE""",1
"""weak solution""","""OpenAIRE""",1
"""waves and shallow water""","""OpenAIRE""",1
"""cauchy problem""","""OpenAIRE""",1
"""waves and shallow water""","""OpenAlex""",1
"""matrix completion""","""OpenAIRE""",1
"""public engagement""","""OpenAIRE""",1
"""anglophone-centric""","""OpenAIRE""",1
"""dialogic communication""","""OpenAIRE""",1
"""publics""","""OpenAlex""",1
"""multiple sampling""","""OpenAIRE""",1
"""backlash""","""OpenAIRE""",1
"""impression management""","""OpenAIRE""",1
"""library management""","""OpenAIRE""",1
"""cultural stereotypes""","""OpenAIRE""",1
"""interquartile range""","""OpenAlex""",1
"""denmark""","""OpenAIRE""",1
"""interquartile range""","""OpenAIRE""",1
"""clinical trials (epidemiology)""","""OpenAIRE""",1
"""education, medical, graduate""","""OpenAIRE""",1
"""secondary outcome measure""","""OpenAIRE""",1
"""online transaction processing""","""OpenAIRE""",1
"""distributed transaction""","""OpenAIRE""",1
"""transaction processing""","""OpenAIRE""",1
"""semantic heterogeneity""","""OpenAlex""",1
"""ancestor""","""OpenAIRE""",1
"""flexural strength""","""OpenAlex""",1
"""research results""","""OpenAIRE""",1
"""scanning electron microscopy image""","""OpenAIRE""",1
"""engineering, mechanical""","""OpenAIRE""",1
"""mechanical properties""","""OpenAIRE""",1
"""fused deposition modelling""","""OpenAIRE""",1
"""perpendicular""","""OpenAIRE""",1
"""manufacturing solution""","""OpenAIRE""",1
"""deposition""","""OpenAIRE""",1
"""manufacture""","""OpenAIRE""",1
"""design/methodology/approach""","""OpenAIRE""",1
"""mechanical behaviour""","""OpenAIRE""",1
"""genetic regulatory networks, time delays, delay-independent stability, nonlinear differential equations, gene, protein, mrna""","""OpenAIRE""",1
"""bifurcation theory""","""OpenAlex""",1
"""transcendental equation""","""OpenAlex""",1
"""community finding""","""OpenAIRE""",1
"""dynamic community analysis""","""OpenAIRE""",1
"""mobile call data""","""OpenAIRE""",1
"""network generation""","""OpenAIRE""",1
"""appraisal theory""","""OpenAlex""",1
"""disappointment""","""OpenAlex""",1
"""gradual release of responsibility""","""OpenAIRE""",1
"""sink (geography)""","""OpenAlex""",1
"""conceptual structure""","""OpenAIRE""",1
"""asian americans""","""OpenAIRE""",1
"""intuitive reasoning""","""OpenAIRE""",1
"""prior""","""OpenAIRE""",1
"""ambiguous characters""","""OpenAIRE""",1
"""support""","""OpenAIRE""",1
"""ambiguous data""","""OpenAIRE""",1
"""model misspecification""","""OpenAIRE""",1
"""posterior probabilities""","""OpenAIRE""",1
"""consumer safety""","""OpenAlex""",1
"""genealogy and heraldry""","""OpenAIRE""",1
"""alcohol dehydrogenase""","""OpenAIRE""",1
"""coarticulation""","""OpenAIRE""",1
"""triphone""","""OpenAIRE""",1
"""perplexity""","""OpenAIRE""",1
"""sphinx""","""OpenAIRE""",1
"""sphinx""","""OpenAlex""",1
"""econometric models ; banking market ; risk""","""OpenAIRE""",1
"""contingent liability""","""OpenAIRE""",1
"""shock (economics)""","""OpenAIRE""",1
"""jel:f34""","""OpenAIRE""",1
"""jel:f32""","""OpenAIRE""",1
"""capital flight""","""OpenAlex""",1
"""futures studies""","""OpenAlex""",1
"""shape context""","""OpenAlex""",1
"""face space""","""OpenAIRE""",1
"""implicit personality theory""","""OpenAIRE""",1
"""physical comfort""","""OpenAIRE""",1
"""record locking""","""OpenAIRE""",1
"""gps data""","""OpenAIRE""",1
"""subjective logic""","""OpenAIRE""",1
"""probabilistic ctl""","""OpenAIRE""",1
"""probabilistic logic network""","""OpenAIRE""",1
"""probabilistic ctl""","""OpenAlex""",1
"""aerial imagery""","""OpenAlex""",1
"""low resolution images""","""OpenAIRE""",1
"""aerial imagery""","""OpenAIRE""",1
"""detection""","""OpenAIRE""",1
"""mstcnns master of telematics - communication networks and networked services (2 year)""","""OpenAIRE""",1
"""[ntnudaim]""","""OpenAIRE""",1
"""informasjonssikkerhet""","""OpenAIRE""",1
"""ntnudaim:7769""","""OpenAIRE""",1
"""herding""","""OpenAIRE""",1
"""forestry""","""OpenAlex""",1
"""herding""","""OpenAlex""",1
"""clan""","""OpenAlex""",1
"""g protein-coupled receptor""","""OpenAlex""",1
"""homology modeling""","""OpenAlex""",1
"""prescription drugs""","""OpenAIRE""",1
"""receptors, g-protein-coupled""","""OpenAIRE""",1
"""g protein-coupled receptor""","""OpenAIRE""",1
"""structural homology, protein""","""OpenAIRE""",1
"""civil society""","""OpenAIRE""",1
"""capacity development""","""OpenAlex""",1
"""capacity building""","""OpenAlex""",1
"""subtropics""","""OpenAlex""",1
"""maxim""","""OpenAIRE""",1
"""wearable""","""OpenAIRE""",1
"""emotion cognition""","""OpenAIRE""",1
"""wearable robot""","""OpenAIRE""",1
"""rnn""","""OpenAIRE""",1
"""refraction""","""OpenAIRE""",1
"""coded aperture""","""OpenAIRE""",1
"""optical path""","""OpenAIRE""",1
"""ray""","""OpenAlex""",1
"""competing risks""","""OpenAIRE""",1
"""audio visual""","""OpenAIRE""",1
"""audio visual""","""OpenAlex""",1
"""adolescent drug""","""OpenAIRE""",1
"""social facilitation""","""OpenAIRE""",1
"""marijuana abuse""","""OpenAIRE""",1
"""preadolescence""","""OpenAlex""",1
"""population cycle""","""OpenAIRE""",1
"""density dependence""","""OpenAIRE""",1
"""eggs""","""OpenAIRE""",1
"""density dependence""","""OpenAlex""",1
"""natural population growth""","""OpenAlex""",1
"""population density""","""OpenAlex""",1
"""hatchling""","""OpenAlex""",1
"""gait analysis""","""OpenAIRE""",1
"""health_and_wellbeing""","""OpenAIRE""",1
"""sorting network""","""OpenAlex""",1
"""sorting algorithm""","""OpenAlex""",1
"""sequential sampling""","""OpenAlex""",1
"""spatial distribution""","""OpenAlex""",1
"""information quality""","""OpenAIRE""",1
"""photo-consistency""","""OpenAIRE""",1
"""specialization""","""OpenAIRE""",1
"""domain specificity""","""OpenAIRE""",1
"""prosopagnosia""","""OpenAIRE""",1
"""exchange rate""","""OpenAIRE""",1
"""solution of equations""","""OpenAIRE""",1
"""group delay and phase delay""","""OpenAlex""",1
"""aspirational talk""","""OpenAIRE""",1
"""csr""","""OpenAIRE""",1
"""hypocrisy""","""OpenAIRE""",1
"""performative utterance""","""OpenAIRE""",1
"""differences between words and action""","""OpenAIRE""",1
"""hypocrisy""","""OpenAlex""",1
"""performative utterance""","""OpenAlex""",1
"""spain""","""OpenAIRE""",1
"""concreteness""","""OpenAlex""",1
"""concreteness""","""OpenAIRE""",1
"""mean reversion""","""OpenAlex""",1
"""current population survey""","""OpenAlex""",1
"""payroll""","""OpenAlex""",1
"""social security""","""OpenAlex""",1
"""payroll tax""","""OpenAlex""",1
"""single model""","""OpenAIRE""",1
"""multiple models""","""OpenAIRE""",1
"""course (navigation)""","""OpenAlex""",1
"""computer-mediated communication""","""OpenAlex""",1
"""online course""","""OpenAlex""",1
"""technocracy""","""OpenAIRE""",1
"""scrutiny""","""OpenAIRE""",1
"""adjective""","""OpenAIRE""",1
"""framenet""","""OpenAIRE""",1
"""framenet""","""OpenAlex""",1
"""brain function""","""OpenAIRE""",1
"""animal cognition""","""OpenAIRE""",1
"""servicescape""","""OpenAIRE""",1
"""logical framework""","""OpenAIRE""",1
"""attention restoration theory""","""OpenAIRE""",1
"""servicescape""","""OpenAlex""",1
"""genomic organization""","""OpenAIRE""",1
"""dna, fungal""","""OpenAIRE""",1
"""gene map""","""OpenAIRE""",1
"""gene rearrangement""","""OpenAIRE""",1
"""growth rate""","""OpenAIRE""",1
"""growth rate""","""OpenAlex""",1
"""input language""","""OpenAIRE""",1
"""engineering optimization""","""OpenAIRE""",1
"""building design""","""OpenAlex""",1
"""many-body problem""","""OpenAIRE""",1
"""three-body problem""","""OpenAIRE""",1
"""kirkwood gap""","""OpenAIRE""",1
"""three-body problem""","""OpenAlex""",1
"""commensurability (mathematics)""","""OpenAlex""",1
"""astron""","""OpenAlex""",1
"""osiris""","""OpenAIRE""",1
"""gmm""","""OpenAIRE""",1
"""iris (biosensor)""","""OpenAIRE""",1
"""eer""","""OpenAIRE""",1
"""iris authentication""","""OpenAIRE""",1
"""segmentation quality""","""OpenAIRE""",1
"""execution time""","""OpenAIRE""",1
"""noisy data""","""OpenAIRE""",1
"""inverse laplace transform""","""OpenAIRE""",1
"""fredholm integral equation""","""OpenAlex""",1
"""friends""","""OpenAIRE""",1
"""receipt""","""OpenAIRE""",1
"""interpersonal ties""","""OpenAlex""",1
"""receipt""","""OpenAlex""",1
"""block diagram""","""OpenAIRE""",1
"""block diagram""","""OpenAlex""",1
"""software review""","""OpenAIRE""",1
"""personal software process""","""OpenAIRE""",1
"""software technical review""","""OpenAIRE""",1
"""software documentation""","""OpenAIRE""",1
"""connected vehicle""","""OpenAIRE""",1
"""car following""","""OpenAIRE""",1
"""fleet management""","""OpenAIRE""",1
"""replicating portfolio""","""OpenAIRE""",1
"""concurrency control""","""OpenAIRE""",1
"""distributed database""","""OpenAlex""",1
"""dedicated short-range communications""","""OpenAlex""",1
"""immune network theory""","""OpenAIRE""",1
"""neuroretinal rim""","""OpenAIRE""",1
"""optic cup (embryology)""","""OpenAlex""",1
"""eye development""","""OpenAlex""",1
"""cup-to-disc ratio""","""OpenAIRE""",1
"""optic cup (anatomical)""","""OpenAIRE""",1
"""optic-nerve degeneration""","""OpenAIRE""",1
"""poisson's equation""","""OpenAlex""",1
"""entertainment""","""OpenAIRE""",1
"""entertainment""","""OpenAlex""",1
"""computer-assisted translation""","""OpenAIRE""",1
"""cache language model""","""OpenAIRE""",1
"""forward volatility""","""OpenAIRE""",1
"""financial models with long-tailed distributions and volatility clustering""","""OpenAIRE""",1
"""constant elasticity of variance model""","""OpenAIRE""",1
"""heston model""","""OpenAIRE""",1
"""implied volatility""","""OpenAIRE""",1
"""variance swap""","""OpenAIRE""",1
"""sabr volatility model""","""OpenAlex""",1
"""implied volatility""","""OpenAlex""",1
"""case management""","""OpenAIRE""",1
"""social work, psychiatric""","""OpenAIRE""",1
"""attitude of health personnel""","""OpenAIRE""",1
"""social constructionism""","""OpenAlex""",1
"""online vehicle routing""","""OpenAIRE""",1
"""dynamic vehicle""","""OpenAIRE""",1
"""dynamic vehicle routing""","""OpenAIRE""",1
"""stochastic vehicle routing""","""OpenAIRE""",1
"""tl""","""OpenAIRE""",1
"""he""","""OpenAIRE""",1
"""bedroom""","""OpenAIRE""",1
"""k""","""OpenAIRE""",1
"""principle of legality""","""OpenAIRE""",1
"""intimate partner violence/abuse""","""OpenAIRE""",1
"""singing""","""OpenAIRE""",1
"""vocalization, animal""","""OpenAIRE""",1
"""nocturnal""","""OpenAIRE""",1
"""vocal communication""","""OpenAIRE""",1
"""daytime""","""OpenAIRE""",1
"""singing""","""OpenAlex""",1
"""noise pollution""","""OpenAlex""",1
"""daytime""","""OpenAlex""",1
"""nocturnal""","""OpenAlex""",1
"""water model""","""OpenAlex""",1
"""biomolecule""","""OpenAlex""",1
"""properties of water""","""OpenAlex""",1
"""properties of water""","""OpenAIRE""",1
"""water model""","""OpenAIRE""",1
"""phase diagram""","""OpenAIRE""",1
"""physical model""","""OpenAIRE""",1
"""solvation""","""OpenAIRE""",1
"""gang violence""","""OpenAIRE""",1
"""configural encoding""","""OpenAIRE""",1
"""perceptual expertise""","""OpenAIRE""",1
"""neuroleadership""","""OpenAIRE""",1
"""situational leadership theory""","""OpenAlex""",1
"""ethical leadership""","""OpenAlex""",1
"""rna, plant""","""OpenAIRE""",1
"""ploidies""","""OpenAIRE""",1
"""plant evolution""","""OpenAIRE""",1
"""chromosomes, plant""","""OpenAIRE""",1
"""non-mendelian inheritance""","""OpenAIRE""",1
"""pseudoword""","""OpenAlex""",1
"""pseudoword""","""OpenAIRE""",1
"""contact force""","""OpenAIRE""",1
"""contact force""","""OpenAlex""",1
"""water metabolism""","""OpenAIRE""",1
"""water uptake""","""OpenAIRE""",1
"""plant cells""","""OpenAIRE""",1
"""plant cell""","""OpenAIRE""",1
"""turgor pressure""","""OpenAIRE""",1
"""water flow""","""OpenAIRE""",1
"""water transport""","""OpenAIRE""",1
"""plant growth""","""OpenAlex""",1
"""microvascular angina""","""OpenAIRE""",1
"""syndrome x""","""OpenAIRE""",1
"""abnormality""","""OpenAIRE""",1
"""metabolic syndrome""","""OpenAIRE""",1
"""hyperlipidemias""","""OpenAIRE""",1
"""population level""","""OpenAIRE""",1
"""metabolic syndrome""","""OpenAlex""",1
"""information and computing sciences, engineering, psychology and cognitive sciences""","""OpenAIRE""",1
"""mean square""","""OpenAIRE""",1
"""optical computing""","""OpenAIRE""",1
"""web intelligence""","""OpenAlex""",1
"""web analytics""","""OpenAlex""",1
"""human voice""","""OpenAIRE""",1
"""bicycle and motorcycle dynamics""","""OpenAIRE""",1
"""automobile handling""","""OpenAIRE""",1
"""electronic stability control""","""OpenAlex""",1
"""serial position effect""","""OpenAIRE""",1
"""time""","""OpenAIRE""",1
"""ad""","""OpenAIRE""",1
"""brand memory""","""OpenAIRE""",1
"""scores""","""OpenAIRE""",1
"""media planning""","""OpenAIRE""",1
"""brand advertising""","""OpenAIRE""",1
"""negative binomial distribution""","""OpenAIRE""",1
"""brand advertising, visual attention, brand memory, hierarchical bayes""","""OpenAIRE""",1
"""hierarchical bayes""","""OpenAIRE""",1
"""visual-attention""","""OpenAIRE""",1
"""vlsi architecture design""","""OpenAIRE""",1
"""attack model""","""OpenAIRE""",1
"""replay attack""","""OpenAlex""",1
"""deviance (sociology)""","""OpenAIRE""",1
"""gerrymandering""","""OpenAIRE""",1
"""gerrymandering""","""OpenAlex""",1
"""current limiting""","""OpenAlex""",1
"""genes, neoplasm""","""OpenAIRE""",1
"""gene expression regulation, neoplastic""","""OpenAIRE""",1
"""photon entanglement""","""OpenAIRE""",1
"""photon""","""OpenAlex""",1
"""photon entanglement""","""OpenAlex""",1
"""spontaneous parametric down-conversion""","""OpenAlex""",1
"""chemical data""","""OpenAIRE""",1
"""factor (programming language)""","""OpenAIRE""",1
"""(primary), 05-08 (secondary)""","""OpenAIRE""",1
"""text recognition""","""OpenAlex""",1
"""antisymmetry""","""OpenAlex""",1
"""gene annotation""","""OpenAIRE""",1
"""ensembl""","""OpenAIRE""",1
"""comparability graph""","""OpenAlex""",1
"""prognostic prediction""","""OpenAIRE""",1
"""internet traffic""","""OpenAIRE""",1
"""delta method""","""OpenAIRE""",1
"""edgeworth series""","""OpenAIRE""",1
"""edgeworth series""","""OpenAlex""",1
"""asymptotic analysis""","""OpenAlex""",1
"""schedule generation scheme""","""OpenAIRE""",1
"""resource-constrained project scheduling""","""OpenAIRE""",1
"""event-based representation""","""OpenAIRE""",1
"""flow-based representation""","""OpenAIRE""",1
"""temporal logic of actions""","""OpenAIRE""",1
"""singular point of an algebraic variety""","""OpenAIRE""",1
"""algebraic variety""","""OpenAIRE""",1
"""dimension of an algebraic variety""","""OpenAIRE""",1
"""resolution of singularities""","""OpenAIRE""",1
"""toric variety""","""OpenAIRE""",1
"""algebraic surface""","""OpenAIRE""",1
"""function field of an algebraic variety""","""OpenAIRE""",1
"""differential algebraic equation""","""OpenAlex""",1
"""singular point of an algebraic variety""","""OpenAlex""",1
"""function field of an algebraic variety""","""OpenAlex""",1
"""algebraic variety""","""OpenAlex""",1
"""resolution of singularities""","""OpenAlex""",1
"""iris (anatomy)""","""OpenAIRE""",1
"""plateau iris""","""OpenAIRE""",1
"""anterior eye segment""","""OpenAIRE""",1
"""ciliary body""","""OpenAIRE""",1
"""scleral spur""","""OpenAIRE""",1
"""iris""","""OpenAIRE""",1
"""ultrasound biomicroscopy""","""OpenAIRE""",1
"""eye disease""","""OpenAIRE""",1
"""cornea""","""OpenAlex""",1
"""anterior eye segment""","""OpenAlex""",1
"""posterior segment of eyeball""","""OpenAlex""",1
"""ciliary body""","""OpenAlex""",1
"""ultrasound biomicroscopy""","""OpenAlex""",1
"""social intelligence""","""OpenAIRE""",1
"""gene discovery""","""OpenAIRE""",1
"""setaria""","""OpenAIRE""",1
"""lawn""","""OpenAIRE""",1
"""aux1""","""OpenAIRE""",1
"""setaria viridis""","""OpenAIRE""",1
"""inflorescence""","""OpenAIRE""",1
"""zea mays""","""OpenAIRE""",1
"""maize""","""OpenAIRE""",1
"""setaria plant""","""OpenAIRE""",1
"""cascading failure""","""OpenAIRE""",1
"""breed""","""OpenAIRE""",1
"""seasonal breeder""","""OpenAlex""",1
"""breed""","""OpenAlex""",1
"""expertise reversal effect""","""OpenAIRE""",1
"""community college""","""OpenAIRE""",1
"""modern physics""","""OpenAIRE""",1
"""cooperative group""","""OpenAIRE""",1
"""electrical load""","""OpenAlex""",1
"""most times""","""OpenAIRE""",1
"""total risk""","""OpenAIRE""",1
"""cultural cognition""","""OpenAIRE""",1
"""image retrieval feature extraction""","""OpenAIRE""",1
"""visual descriptors""","""OpenAIRE""",1
"""future tense""","""OpenAIRE""",1
"""diathesis alternation""","""OpenAIRE""",1
"""alternation (formal language theory)""","""OpenAIRE""",1
"""collostructional analysis""","""OpenAIRE""",1
"""alternation (linguistics)""","""OpenAlex""",1
"""robota""","""OpenAIRE""",1
"""robotic assistant""","""OpenAIRE""",1
"""communicative competence""","""OpenAIRE""",1
"""autism therapy""","""OpenAIRE""",1
"""social skills""","""OpenAlex""",1
"""retinal bipolar cells""","""OpenAIRE""",1
"""ambystoma""","""OpenAIRE""",1
"""keyword extraction""","""OpenAIRE""",1
"""rake""","""OpenAlex""",1
"""human anatomy""","""OpenAIRE""",1
"""clinical tests""","""OpenAIRE""",1
"""balance problems""","""OpenAlex""",1
"""transparency (data compression)""","""OpenAIRE""",1
"""copy protection""","""OpenAIRE""",1
"""language shift""","""OpenAIRE""",1
"""socialization (marxism)""","""OpenAIRE""",1
"""quantile""","""OpenAIRE""",1
"""jel:r12""","""OpenAIRE""",1
"""agglomeration; cities; firm selection; productivity""","""OpenAIRE""",1
"""agglomeration""","""OpenAIRE""",1
"""agglomeration, firm selection, productivity, cities""","""OpenAIRE""",1
"""agglomeration; firm selection; productivity, cities""","""OpenAIRE""",1
"""city size""","""OpenAIRE""",1
"""productivity, firm selection, agglomeration, cities""","""OpenAIRE""",1
"""firm selection""","""OpenAIRE""",1
"""medizin und gesundheit""","""OpenAIRE""",1
"""ddc:610""","""OpenAIRE""",1
"""communication in small groups""","""OpenAlex""",1
"""euphorbia esula""","""OpenAIRE""",1
"""centaurea maculosa""","""OpenAIRE""",1
"""political culture""","""OpenAIRE""",1
"""international political economy""","""OpenAIRE""",1
"""political science of religion""","""OpenAIRE""",1
"""masonry""","""OpenAIRE""",1
"""fibre-reinforced plastic""","""OpenAIRE""",1
"""design load""","""OpenAIRE""",1
"""truss""","""OpenAIRE""",1
"""flexural strengthening""","""OpenAIRE""",1
"""[info.info-et] computer science [cs]/emerging technologies [cs.et]""","""OpenAIRE""",1
"""[info.info-et]computer science [cs]/emerging technologies [cs.et]""","""OpenAIRE""",1
"""data classifier""","""OpenAIRE""",1
"""data classifiers""","""OpenAIRE""",1
"""wearable sensor""","""OpenAIRE""",1
"""physical activities""","""OpenAIRE""",1
"""accelerometre""","""OpenAIRE""",1
"""smart space""","""OpenAIRE""",1
"""[ phys.phys.phys-ins-det ] physics [physics]/physics [physics]/instrumentation and detectors [physics.ins-det]""","""OpenAIRE""",1
"""smart spaces""","""OpenAIRE""",1
"""accelerometers""","""OpenAIRE""",1
"""psychological safety""","""OpenAIRE""",1
"""motion field""","""OpenAlex""",1
"""clinical prediction rule""","""OpenAIRE""",1
"""interdisciplinary studies""","""OpenAIRE""",1
"""geological survey""","""OpenAIRE""",1
"""applied sciences and engineering""","""OpenAIRE""",1
